Inst,S,C,G
c1,3(1b),prp,vbd
c2,1(1),nn,nn
c3,9(3),nns,vbd
c4,9(3),prp,vbz
c5,9(3),nns,vb
c6,1(1),nn,vb
c7,10(n),dt,cc
c8,9(3),nn,vbp
c9,9(3),cd,nn
c10,10(n),dt,vbz
c11,4(2),nn,in
c12,10(n),dt,vbd
c13,6(2b),prp,nn
c14,1(1),nn,vbn
c15,1(1),nn,nns
c16,6(2b),nn,vb
c17,10(n),dt,vbd
c18,9(3),nn,vbd
c20,10(n),dt,vbz
c21,1(1),nns,vbp
c22,10(n),dt,cc
c23,2(1a),nn,vbd
c24,4(2),nn,nn
c25,1(1),vbg,jj
c26,1(1),nnp,nn
c28,9(3),cd,nn
c29,10(n),dt,cc
c30,4(2),nn,vbg
c31,9(3),cd,vb
c32,5(2a),nn,vbz
c33,5(2a),nn,vbd
c34,9(3),nn,cc
c35,10(n),dt,cc
c36,10(n),dt,cc
c37,9(3),cd,nns
c38,1(1),nn,vbg
c40,6(2b),vbg,vbd
c41,10(n),dt,vb
c42,8(2d),nn,vb
c43,9(3),vbg,vbz
c44,1(1),nn,jjr
c45,1(1),nn,nn
c46,5(2a),dt,vbd
c47,10(n),dt,vbd
c48,10(n),dt,cc
c49,10(n),dt,vbp
c50,3(1b),nn,vbp
c51,6(2b),nn,vbd
c52,9(3),cd,cd
c53,1(1),nn,vbn
c54,1(1),prp,nn
c55,9(3),jj,nns
c56,1(1),nn,vbz
c57,1(1),nn,vbn
c58,9(3),cd,vbn
c59,6(2b),nns,jj
c60,2(1a),nn,vbd
c62,2(1a),nn,vb
c63,8(2d),nn,vbp
c64,10(n),pdt,vbz
c65,1(1),nn,vb
c66,9(3),dt,vbd
c67,10(n),dt,vbp
c68,10(n),dt,vbz
c69,4(2),nns,vbd
c70,9(3),cd,cd
c71,1(1),nn,vbg
c72,4(2),nn,nn
c73,1(1),nn,vbd
c74,10(n),dt,vbp
c76,9(3),nns,vbd
c78,10(n),dt,vbz
c79,1(1),prp,nns
c80,1(1),nn,vbd
c82,6(2b),nnp,vbz
c83,9(3),nns,vb
c84,4(2),nn,vbd
c86,9(3),nn,nn
c88,9(3),nn,vb
c89,2(1a),nn,nns
c90,6(2b),prp,vbn
c91,3(1b),nn,nns
c92,9(3),nnps,nns
c95,6(2b),nn,vbd
c96,9(3),nn,nn
c97,3(1b),nn,vbz
c98,2(1a),prp,nn
c99,2(1a),dt,nn
c100,9(3),nn,vb
c101,10(n),dt,vbd
c102,10(n),dt,vbz
c103,9(3),nns,vbd
c104,10(n),dt,vbp
c105,10(n),dt,nn
c106,10(n),dt,cc
c107,9(3),dt,nn
c108,9(3),nn,in
c109,9(3),nns,vb
c110,9(3),cd,vbz
c111,7(2c),nns,nns
c112,1(1),nn,nn
c113,3(1b),prp,vbz
c114,10(n),dt,nn
c115,4(2),nns,nn
c116,9(3),nn,cd
c117,1(1),nn,vbn
c118,9(3),cd,nn
c119,9(3),nn,vbz
c120,2(1a),nn,vbn
c122,10(n),dt,cc
c123,9(3),cd,vbd
c124,9(3),nns,vb
c125,9(3),nn,vbz
c126,3(1b),nnp,nn
c127,1(1),nn,nn
c128,9(3),nn,vbp
c129,9(3),nn,vbd
c130,9(3),cd,in
c131,10(n),dt,md
c132,9(3),nns,vbg
c133,10(n),dt,vbp
c134,9(3),nn,cd
c135,3(1b),nn,nn
c136,10(n),nns,vbz
c137,9(3),nn,nns
c138,9(3),nn,nn
c139,10(n),nns,vbd
c140,9(3),nn,vb
c141,5(2a),nn,nn
c142,9(3),cd,vb
c143,2(1a),nns,vbp
c144,1(1),nn,vbz
c145,10(n),dt,cc
c146,3(1b),nn,nn
c149,1(1),nn,in
c150,4(2),nns,vbp
c152,2(1a),nn,nn
c153,3(1b),nn,nns
c154,9(3),nn,nn
c155,9(3),nn,vbz
c156,10(n),dt,vbz
c157,10(n),dt,vbp
c158,10(n),dt,vbz
c159,4(2),prp,jj
c161,8(2d),nn,vbz
c162,10(n),jj,vbz
c163,10(n),pdt,vbz
c164,2(1a),prp,nn
c166,10(n),dt,vbp
c167,4(2),nn,nn
c170,4(2),nn,nnp
c171,10(n),dt,nn
c172,9(3),nn,cc
c173,9(3),nns,vb
c174,10(n),dt,vbd
c175,10(n),dt,vbn
c177,10(n),nn,vbd
c178,10(n),dt,nn
c179,9(3),cd,vb
c180,1(1),nn,nn
c181,9(3),cd,vb
c182,5(2a),nnp,vbn
c183,6(2b),nn,vbd
c184,8(2d),nn,nn
c185,2(1a),dt,vbg
c186,4(2),nns,vbp
c187,9(3),nn,to
c188,8(2d),nn,vb
c189,1(1),nn,vbd
c190,9(3),nn,nns
c191,1(1),nns,nn
c192,2(1a),nns,vbz
c193,1(1),nn,nns
c194,10(n),dt,cc
c195,10(n),dt,vbz
c196,10(n),dt,vbn
c198,5(2a),nnp,in
c199,9(3),nn,vbd
c200,1(1),nn,nn
c201,10(n),dt,vbd
c202,9(3),wp,vbz
c204,9(3),nn,vb
c205,9(3),cd,nn
c206,9(3),nn,nns
c207,9(3),nnp,nnp
c209,9(3),nn,vbp
c210,9(3),nns,vbz
c211,5(2a),prp,vbp
c213,10(n),jj,vbp
c214,9(3),nns,nns
c215,9(3),nns,jj
c216,9(3),nn,nns
c217,9(3),cd,jj
c218,9(3),nns,vb
c219,6(2b),dt,nn
c220,10(n),dt,wrb
c221,10(n),dt,vbd
c222,10(n),nns,vbd
c223,4(2),nn,nn
c224,9(3),nn,nn
c225,9(3),nn,vbz
c226,9(3),nn,vbn
c227,2(1a),nn,vbz
c228,4(2),nn,nn
c229,3(1b),nn,vbg
c230,10(n),dt,nn
c231,4(2),nn,vbn
c232,4(2),dt,vb
c233,9(3),nnp,nnp
c234,10(n),dt,vbd
c235,3(1b),nn,vbn
c236,10(n),dt,vb
c237,3(1b),nn,nn
c238,10(n),dt,vbz
c239,7(2c),vbg,nn
c240,9(3),nn,vb
c241,10(n),dt,cc
c242,2(1a),nn,vbz
c243,9(3),cd,vbn
c244,9(3),nn,nn
c246,9(3),prp,vbd
c247,3(1b),nn,nn
c248,6(2b),nn,vbg
c249,9(3),nn,vbz
c250,10(n),dt,vb
