'cept,1(1),but for/except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
'cept,2(1),except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
'gainst,1(1),with/versus
'gainst,10(4),up 'gainst
'gainst,3(1b),with/versus
'gainst,8(3),in opposition to
'mongst,1(1),between/amidst,
'mongst,2(2),in/of
'mongst,3(3),in
'mongst,4(4),between
'mongst,5(1),among/amid/amidst/amongst
'pon,1(1),'pon/atop/above/over
'pon,10(4),of
'pon,11(5),'pon
'pon,11(5)-1,for
'pon,12(6),in/at
'pon,13(6a),over/via
'pon,14(7),(while)
'pon,15(7a),in
'pon,16(7b),in/onto
'pon,17(8),in
'pon,18(8a),'pon
'pon,2(1a),in
'pon,23(1),upon/on
'pon,3(1b),against/over/with
'pon,4(1c),'pon
'pon,5(1d),on top of/onto
'pon,6(1e),with
'pon,7(2),in/over/around
'pon,8(3),about/over/(concerning)/with reference to
'pon,9(3a),after/'pon
'pon,9(3a)-1,of
a cut above,1(1),over/on top of/above
a la,2(1a),(like)
abaft,1(1),behind
aboard,1(1),in/on/onto
aboard,2(1a),in/on/onto
about,1(1),on/over/of/with respect to
about,2(1a),on/concerning/with respect to
about,3(2),around/through
about,3(2)-1,round (Brit)/around
about,4(3),around/in/throughout
about,5(3a),concerning/with respect to
above,1(1),over/on top of
above,2(1a),over/on top of
above,3(1b),over
above,4(2),over/on top of
above,5(2a),over/on top of
above,7(2c),instead of/in place of/over
above,8(2d),over
above,9(3),over
absent,1(1),without/minus
according to,2(1a),by
according to,3(1b),in proportion to/in relation to/in reference to/depending on
across,1(1),through
across,1(1)-1,through/throughout
across,2(2),opposite
across,3(n),throughout
afore,1(1),ahead of/previous to
afore,2(2),in front of
afore,3(2a),in front of
afore,4(3),ahead of/in front of
afore,5(1),before
after,1(1),following/subsequent to
after,1(1)-1,because of/on account of/from
after,11(n),despite/notwithstanding
after,3(1b),past
after,4(1c),for
after,5(2),behind
after,6(2a),to/toward
after,8(4),next to
after,9(5),for
after the fashion of,1(1),in the fashion of
against,1(1),with/versus
against,10(4),up against
against,3(1b),with/versus
against,8(3),in opposition to
agin,1(1),with/versus
agin,10(4),up agin
agin,12(1),against/gainst
agin,3(1b),with/versus
agin,8(3),in opposition to
ahead of,1(1),in front of/before
ahead of,2(1a),in front of
ahead of,3(1b),in front of/before
ahead of,4(n),above
all for,1(1),for
all over,1(1),all through/throughout
all over,2(1a),all through/throughout
along,1(1),up/down/alongside
along,2(1a),through
along,3(2),up and down
along,4(n),in keeping with/in accord with
along with,1(1),with
