prep,sense,opreps
a cut above,1(1),over/on top of/above
a la,1(1)
a la,2(1a),(like)
abaft,1(1),behind
aboard,1(1),in/on/onto
aboard,2(1a),in/on/onto
about,1(1),on/over/of/with respect to
about,2(1a),on/concerning/with respect to
about,3(2),around/through
about,3(2)-1,round (Brit)/around
about,4(3),around/in/throughout
about,5(3a),concerning/with respect to
about,6(n)
above,1(1),over/on top of
above,10(n)
above,2(1a),over/on top of
above,3(1b),over
above,4(2),over/on top of
above,5(2a),over/on top of
above,6(2b)
above,7(2c),instead of/in place of/over
above,8(2d),over
above,9(3),over
absent,1(1),without/minus
according to,1(1)
according to,2(1a),by
according to,3(1b),in proportion to/in relation to/in reference to/depending on
according to,4(n)
across,1(1),through
across,1(1)-1,through/throughout
across,2(2),opposite
across,3(n),throughout
afore,1(1),ahead of/previous to
afore,2(2),in front of
afore,3(2a),in front of
afore,4(3),ahead of/in front of
afore,5(1),before
after the fashion of,1(1),in the fashion of
after,1(1),following/subsequent to
after,1(1)-1,because of/on account of/from
after,10(5a)
after,11(n),despite/notwithstanding
after,2(1a)
after,3(1b),past
after,4(1c),for
after,5(2),behind
after,6(2a),to/toward
after,7(3)
after,8(4),next to
after,9(5),for
against,1(1),with/versus
against,10(4),up against
against,11(n)
against,2(1a)
against,3(1b),with/versus
against,4(2)
against,5(2a)
against,6(2b)
against,7(2c)
against,8(3),in opposition to
against,9(3a)
agin,1(1),with/versus
agin,10(4),up agin
agin,11(n)
agin,12(1),against/gainst
agin,2(1a)
agin,3(1b),with/versus
agin,4(2)
agin,5(2a)
agin,6(2b)
agin,7(2c)
agin,8(3),in opposition to
agin,9(3a)
ahead of,1(1),in front of/before
ahead of,2(1a),in front of
ahead of,3(1b),in front of/before
ahead of,4(n),above
all for,1(1),for
all over,1(1),all through/throughout
all over,2(1a),all through/throughout
all over,3(2)
along with,1(1),with
along,1(1),up/down/alongside
along,2(1a),through
along,3(2),up and down
along,4(n),in keeping with/in accord with
alongside,1(1),beside/by/next to
alongside,2(1a),with/beside
alongside,3(1b),along with/with
amid,1(1),between/among/amidst/among
amid,2(1a),amidst
amidst,1(1),between/among/amidst/among
amidst,2(1a),amidst
amidst,3(1),amid/among/between/amongst
among,1(1),between/amidst,
among,2(2),in/of
among,3(3),in
among,4(4),between
anent,1(1),on/over/of/with respect to
anti,1(1),against
apart from,1(1),but for/except/with the exception of/ dehors/aside from/excepting/excluding/but/save
apart from,2(2),beside/besides/on top of/in addition to
apropos,1(1),concerning/with respect to/as for
around,1(1),round/about
around,2(1a),round/upon
around,3(2),about/round/throughout
around,4(3),round
around,4(3)-1,round
around,5(4),round/about
around,6(n)
as far as,1(1),to/toward/into/up to
as far as,2(n),since/from
as far as,3(n)
as for,1(1),concerning/with respect to/apropos
as from,1(1),from/as of
as of,1(1),from/as from
as regards,1(1),concerning/with respect to/as for/etc.
as to,1(1),concerning/with respect to/as for/etc.
as well as,1(1),besides/in addition to
as,1(1),like/in the nature of/in the capacity of/qua
as,2(2),(when)
as,3(n),including
as,4(n),instead of/in lieu of
aside from,1(1),dehors/exclusive of/excluding
aslant,1(1),across
astraddle,1(1),atop/on top of/astride
astride,1(1),atop/astride
astride,2(2),astraddle
at a range of,1(1),from
at the hand of,1(1),by
at the hands of,1(1),by/(at the hands of)
at the heels of,1(1),after
at,1(1),to/in
at,10(5a),toward
at,11(6),(many)
at,11(6)-1,for/about
at,12(n),with/by/for
at,2(2),in
at,3(2a),in/between/during
at,4(2b),in
at,5(3),around/in
at,6(3a)
at,7(4),in
at,8(4a),in/for
at,9(5),toward/about
athwart,1(1),across/through
athwart,2(2),against/anti
atop,1(1),above/on top of/over
atop,2(n)
back of,1(1),in back of/behind/after
bar,1(1),except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
bar,2(1a),except (limited context)
bare of,1(1),without/absent/sans
barring,1(1)
because of,1(1),on account of/for from/by reason of
before,1(1),ahead of/previous to
before,2(2),in front of
before,3(2a),in front of
before,4(3),ahead of/in front of
behind,1(1),in back of
behind,2(1a),beneath/underneath
behind,3(2),in back of
behind,4(2a)
behind,5(3)
behind,6(3a)
behind,7(4),after
behind,8(5)
behind,9(6),in back of
below,1(1),under/underneath
below,2(1a),beneath/under/underneath
below,3(1b),under/underneath
below,4(2),beneath/under/underneath
below,5(n),behind/underneath/under
beneath,1(1),below/under/underneath
beneath,2(1a),under/underneath
beneath,3(2),below/under/underneath
beneath,4(2a),below/under/underneath
beneath,5(2b),below
beneath,6(2c),behind/underneath
beside,1(1),next to/alongside/by
beside,2(1a),in relation to
beside,3(2),besides
besides,1(1),beside/in addition to
besides,2(n),next to/alongside/by/beside
between,1(1),among/amidst,
between,2(2)
between,3(3)
between,4(4),(involving)
between,5(4a),(involving)
between,6(4b)
between,7(4c),among
between,8(5)
between,9(5a),among
betwixt,1(1),among/amidst,
betwixt,10(1),between
betwixt,2(2)
betwixt,3(3)
betwixt,4(4),(involving)
betwixt,5(4a),(involving)
betwixt,6(4b)
betwixt,7(4c),among
betwixt,8(5)
betwixt,9(5a),among
beyond,1(1),in back of/past
beyond,2(1a),past/outside of
beyond,3(1b),past
beyond,4(2),after/past
beyond,5(3),past
beyond,6(3a),above/over
beyond,7(4),past
beyond,8(4a)
beyond,9(5),barring/excepting/but/but for
but for,1(1),except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
but for,2(1a),except for
but,1(1),except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
by courtesy of,1(1),courtesy of
by courtesy of,2(1a),because of/owing to/on account of/courtesy of
by dint of,1(1),because of/owing to/on account of
by force of,1(1),by means of
by means of,1(1),by force of/by way of
by reason of,1(1),because of/owing to/on account of
by the hand of,1(1),by
by the hands of,1(1),by/(at the hands of)
by the name of,1(1),by
by virtue of,1(1),because of/owing to/on account of
by way of,1(1),through/via
by way of,2(2),as
by way of,3(3),by means of/by force of
by,1(1),with
by,10(2e),of
by,11(2f),while/during
by,12(3)
by,13(3a),in
by,14(3b)
by,15(3c)
by,16(3d)
by,17(4),at/on/+Quirk7.70
by,18(5),beside/near/alongside/next to/close to
by,19(5a),past
by,2(1a),with
by,20(6),during
by,21(7),with
by,22(8),on/upon
by,23(n)
by,3(1b),of/on the part of
by,4(1c),of
by,5(2),with
by,6(2a),as
by,7(2b),as
by,8(2c),on/in
by,9(2d),of
care of,1(1)
'cept,1(1),but for/except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
'cept,2(1),except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
chez,1(1),at/with
circa,1(1),about/around
come,1(1),at
complete with,1(1),with
concerning,1(1),on/over/of/with respect to/about/in connection with
considering,1(1),with regard to/in view of/given
contrary to,1(1),against
counting,1(1),including
courtesy of,1(1),by courtesy of
courtesy of,2(1a),because of/owing to/on account of/by courtesy of
cum,1(1)
dehors,1(1)
depending on,1(1),in proportion to/in relation to/in reference to/according to
despite,1(1),in spite of/notwithstanding/for all/with all/in the face of
down,1(1)
down,2(1a)
down,3(1b),along/up
down,4(1c),to/at
down,5(2),through/throughout
down,6(n)
down,7(n)
due to,1(1)
due to,2(2),because of/owing to/on account of
due to,3(3),because of/owing to/on account of
during,1(1),in/in the course of
during,2(1a),in the course of
ere,1(1),ahead of/previous to/before
ex,1(1),out of/from
ex,2(1a)
ex,3(2),exclusive of
except for,1(1),but for/except/with the exception of/aprt from/aside from/excepting/excluding/but/save
except,1(1),but for/except for/with the exception of/aprt from/aside from/excepting/excluding/but/save
excepting,1(1),but for/except for/with the exception of/aprt from/aside from/except/excluding/but/save
excluding,1(1),dehors/exclusive of
exclusive of,1(1),dehors/excluding
failing,1(1),(otherwise)
following,1(1),after
following,2(n)
for all,1(1),despite/in spite of/notwithstanding/with all
for the benefit of,1(1),for/in favor of
for the benefit of,2(1a),for
for,1(1),in favor of
for,10(8a),at
for,11(9)
for,12(10),during
for,13(11),along
for,14(12)
for,2(2),with/of
for,2(2)-1,with/on the part of
for,3(3),on behalf of
for,4(3a),with/by
for,5(4),to
for,6(5),because of
for,7(6),to
for,8(7)
for,9(8)
forbye,1(1),beside/besides
fore,1(1),ahead of/previous to
fore,2(2),in front of
fore,3(2a),in front of
fore,4(3),ahead of/in front of
fore,5(1),before
fornent,1(1),beside/by/next to/alongside
frae,1(1),at
frae,10(7),out of
frae,10(7)-1
frae,11(8)
frae,12(9),because of/on acct of/for
frae,12(9)-1,by/on the part of
frae,13(10),out of
frae,14(11),in relation to
frae,15(1),from
frae,2(1a)
frae,3(2)
frae,4(3),of
frae,5(3a),of
frae,6(4)
frae,7(4a)
frae,8(5)
frae,9(6),with/of/out of
from,1(1),at
from,10(7),out of
from,10(7)-1
from,11(8)
from,12(9),because of/on acct of/for
from,12(9)-1,by/on the part of
from,13(10),out of
from,14(11),in relation to
from,2(1a)
from,3(2)
from,4(3),of
from,5(3a),of
from,6(4)
from,7(4a)
from,8(5)
from,9(6),with/of/out of
'gainst,1(1),with/versus
'gainst,10(4),up 'gainst
'gainst,11(n)
'gainst,12(1)
'gainst,2(1a)
'gainst,3(1b),with/versus
'gainst,4(2)
'gainst,5(2a)
'gainst,6(2b)
'gainst,7(2c)
'gainst,8(3),in opposition to
'gainst,9(3a)
give or take,1(1)
give or take,2(1a),barring/excepting/but/but for
given,1(1),with regard to/in view of/considering
gone,1(1),after/past
gone,2(1a),past/over
having regard to,1(1),as concerns/with respect to/etc.
in accord with,1(1),per/as per/in accordance with
in addition to,1(1),beside/besides/on top of/apart from
in advance of,1(1),before/ahead of
in advance of,2(n)
in aid of,1(1),for/on behalf of
in back of,1(1),behind; back of
in bed with,1(1)
in bed with,2(1a)
in bed with,3(n)
in behalf of,1(1),for/in aid of
in behalf of,2(2),for/instead of/on behalf of
in case of,1(1)
in common with,1(1)
in common with,2(n)
in company with,1(1),with/along with/together with
in connection with,1(1),on/over/of/with respect to/about/concerning
in consideration of,1(1),for
in consideration of,2(n)
in contravention of,1(1),against
in default of,1(1),without/absent/sans/bare of
in default of,2(n)
in excess of,1(1),(more than)/over/above/upward(s) of
in face of,1(1),(against)
in face of,2(1a),in spite of/notwithstanding/for all/with all/despite
in favor of,1(1)
in favor of,2(2),for
in favour of,1(1)
in favour of,2(2),for
in front of,1(1),ahead of/before
in front of,2(1a),before
in front of,3(2),(before)
in front of,4(n),ahead of (2(1a))
in honor of,1(1),for
in honour of,1(1),for
in keeping with,1(1),with
in lieu of,1(1),instead of/in place of
in light of,1(1),with regard to/etc.
in line with,1(1),in accord with
in line with,2(n)
in memoriam,1(1)
in need of,1(1)
in peril of,1(1)
in place of,1(1),instead of/in lieu of
in place of,2(n),instead of/in lieu of
in proportion to,1(1),in relation to
in proportion to,2(1a),in relation to
in proportion to,3(n)
in re,1(1),with regard to/etc.
in reference to,1(1),with reference to; with regard to/etc.
in regard to,1(1),with regard to/etc.
in relation to,1(1),in proportion to/with reference to
in respect of,1(1),with regard to/etc.
in sight of,1(1)
in sight of,2(1a)
in spite of,1(1),despite/notwithstanding/for all/with all
in terms of,1(1),with regard to/in view of
in the course of,1(1),in/during
in the course of,2(2),during
in the face of,1(1)
in the face of,2(1a),in spite of/notwithstanding/for all/with all/despite
in the fashion of,1(1),in the fashion of
in the grip of,1(1),in the teeth of
in the light of,1(1),with regard to/etc.
in the matter of,1(1),concerning/with respect to/as for/re/etc.
in the midst of,1(1),amid/amidst/under
in the midst of,2(n),between/among/amidst/among
in the midst of,3(n)
in the name of,1(1)
in the name of,2(1a),for/in the interest of
in the name of,3(1b)
in the pay of,1(1)
in the person of,1(1),as/by/from
in the shape of,1(1)
in the shape of,2(1a),by way of
in the teeth of,1(1),in the grip of
in the teeth of,2(1a),despite
in the throes of,1(1),amid/amidst
in token of,1(1)
in view of,1(1),on account of/for from/by reason of/because of
in virtue of,1(1),by virtue of
in,1(1),inside
in,1(1)-1
in,10(7a)
in,11(8)
in,12(9),on
in,2(1a),into/inside
in,3(2),during
in,4(3)
in,5(4),under
in,6(4a),with regard to/concerning
in,6(4a)-1,to
in,7(5),inside/within/among
in,8(6),at
in,9(7)
in,9(7)-1
including,1(1)
inclusive of,1(1)
inside of,1(1),within/in
inside of,2(1a),within
inside,1(1),within/in
inside,2(1a),within/in/into
inside,3(1b),within/in
inside,4(1c)
inside,5(2),within
inside,6(n),in
instead of,1(1),in place of/in lieu of
into,1(1),inside
into,1(1)-1
into,2(2),against
into,3(3),at/toward/to
into,4(4),against/toward
into,5(5),about/concerning
into,6(6)
into,7(7)
into,8(8)
into,9(9)
irrespective of,1(1),regardless of
less,1(1),minus
like,1(1),in the order of/on the order of
like,2(1a),(in the manner of)
like,3(1b),as
like,4(1c)
like,5(1d)
like,6(2)
like,7(3),such as
little short of,1(1),less than/(not) up to
mid,1(1),between/among/amidst/among/amid
mid,2(1a),during
midst,1(1),between/among/amidst/among/amid/mid
minus,1(1),less
minus,2(1a),less/absent
minus,3(2),(below)
mod,1(1)
modulo,1(1)
'mongst,1(1),between/amidst,
'mongst,2(2),in/of
'mongst,3(3),in
'mongst,4(4),between
'mongst,5(1),among/amid/amidst/amongst
more like,1(1),nearer to
near to,1(1),next to/alongside/by/beside
near to,2(2),ahead of/before
near to,3(3),at/in
near to,4(3a),below/approaching
near to,5(4),like/similar to
near to,6(n)
near,1(1),next to/alongside/by/beside
near,2(2),ahead of/before
near,3(3),at/in
near,4(3a),below/approaching
near,5(4),like/similar to
neath,1(1),below/under/underneath
neath,2(1a),under/underneath
